0.01,-0.085,-1.895,255,255,125
39.63,38.475,6.875,255,255,125
-41.15,36.815,4.695,255,255,125
28.9,-47.165,4.895,255,255,125
-40.88,-37.005,2.145,255,255,125
54.52,-7.965,-6.305,255,255,125
-0.38,55.125,-7.355,255,255,125
-54.92,0.225,-4.405,255,255,125
-7.39,-54.525,-2.085,255,255,125
28.86,11.805,-6.295,255,255,125
-13.4,27.415,-4.785,255,255,125
24.53,-17.985,-2.575,255,255,125
-27.21,-11.245,-4.345,255,255,125
-1.43,-27.625,0.445,255,255,125
12.95,32.465,3.175,255,255,125
-33.96,13.435,-0.865,255,255,125
45.48,-31.395,-4.905,255,255,125
52.82,16.435,-7.275,255,255,125
-24.42,48.895,-6.955,255,255,125
25.68,48.835,-7.765,255,255,125
42.51,2.775,7.735,255,255,125
-20.18,-37.475,-2.265,255,255,125
-51.33,-20.085,-3.485,255,255,125
10.43,-43.975,-3.155,255,255,125
-50.67,21.945,-5.305,255,255,125
10.08,15.745,-6.245,255,255,125
-15.5,9.855,2.475,255,255,125
22.78,-1.005,6.045,255,255,125
29.66,30.385,-6.715,255,255,125
-39.7,-2.555,5.795,255,255,125
-2.84,39.925,1.085,255,255,125
36.84,-6.435,-5.795,255,255,125
-10.47,-14.015,-4.205,255,255,125
32.19,-30.685,5.215,255,255,125
-29.73,30.505,-5.835,255,255,125
-29.42,-25.235,4.635,255,255,125
49.23,24.645,6.675,255,255,125
7.65,-14.595,-4.325,255,255,125
-2.83,-42.115,6.855,255,255,125
10.99,44.135,-6.945,255,255,125
13.89,-29.115,-4.075,255,255,125
46.24,30.115,-7.305,255,255,125
-4.52,15.295,-5.715,255,255,125
14.43,1.845,-5.605,255,255,125
42.76,6.335,-8.385,255,255,125
-20.26,-50.825,2.865,255,255,125
-17.04,39.545,1.785,255,255,125
-25.3,2.715,-4.515,255,255,125
44.61,-17.615,-2.875,255,255,125
1.8,27.445,-3.455,255,255,125
54.82,7.605,4.195,255,255,125
-38.74,-15.845,1.415,255,255,125
5.44,-54.525,3.475,255,255,125
-31.29,-45.245,-2.245,255,255,125
-16.44,-24.875,0.795,255,255,125
-22.25,17.785,-5.775,255,255,125
-11.41,48.195,-6.335,255,255,125
-45.92,9.905,-4.545,255,255,125
36.3,-40.235,-3.075,255,255,125
-12.49,-1.015,-4.785,255,255,125
39.29,19.325,-6.955,255,255,125
22.11,-38.985,-3.185,255,255,125
-29.64,40.945,1.185,255,255,125
17.81,25.585,-6.285,255,255,125
-26.79,-40.645,8.445,255,255,125
-1.37,-15.305,4.245,255,255,125
22.28,40.065,0.585,255,255,125
31.37,7.655,4.955,255,255,125
