filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
scene_03.png,3668693,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",12,0,"{""name"":""rect"",""x"":492,""y"":317,""width"":181,""height"":79}","{""name"":""not_defined"",""type"":""car"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
scene_03.png,3668693,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",12,1,"{""name"":""rect"",""x"":470,""y"":166,""width"":253,""height"":110}","{""name"":""not_defined"",""type"":""car"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
scene_03.png,3668693,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",12,2,"{""name"":""rect"",""x"":676,""y"":103,""width"":140,""height"":56}","{""name"":""not_defined"",""type"":""car"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
scene_03.png,3668693,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",12,3,"{""name"":""rect"",""x"":793,""y"":293,""width"":295,""height"":115}","{""name"":""not_defined"",""type"":""car"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
scene_03.png,3668693,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",12,4,"{""name"":""rect"",""x"":967,""y"":509,""width"":114,""height"":44}","{""name"":""not_defined"",""type"":""car"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
scene_03.png,3668693,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",12,5,"{""name"":""rect"",""x"":737,""y"":581,""width"":78,""height"":34}","{""name"":""not_defined"",""type"":""car"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
scene_03.png,3668693,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",12,6,"{""name"":""rect"",""x"":698,""y"":847,""width"":68,""height"":55}","{""name"":""not_defined"",""type"":""car"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
scene_03.png,3668693,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",12,7,"{""name"":""rect"",""x"":826,""y"":854,""width"":130,""height"":108}","{""name"":""not_defined"",""type"":""car"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
scene_03.png,3668693,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",12,8,"{""name"":""rect"",""x"":429,""y"":855,""width"":213,""height"":100}","{""name"":""not_defined"",""type"":""car"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
scene_03.png,3668693,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",12,9,"{""name"":""rect"",""x"":1001,""y"":853,""width"":80,""height"":46}","{""name"":""not_defined"",""type"":""car"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
scene_03.png,3668693,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",12,10,"{""name"":""rect"",""x"":792,""y"":855,""width"":29,""height"":16}","{""name"":""not_defined"",""type"":""car"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
scene_03.png,3668693,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",12,11,"{""name"":""rect"",""x"":1393,""y"":855,""width"":150,""height"":63}","{""name"":""not_defined"",""type"":""car"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
